iter	Logloss
0	0.6756998698
1	0.6563464506
2	0.6392598721
3	0.6219807692
4	0.6038888688
5	0.587894267
6	0.5768938104
7	0.5636371251
8	0.5506808434
9	0.536239624
10	0.526519273
11	0.5124097283
12	0.5016651546
13	0.4926765348
14	0.4835386551
15	0.4723201171
16	0.4634869108
17	0.455141044
18	0.4448009224
19	0.4357786767
20	0.4280858923
21	0.4195297304
22	0.4121262978
23	0.4042251964
24	0.3998409946
25	0.3947528478
26	0.3904778751
27	0.3846414825
28	0.3813637
29	0.3768367061
30	0.3710572357
31	0.3671151306
32	0.3623290827
33	0.356184406
34	0.3523312164
35	0.3485467856
36	0.3446151671
37	0.34018836
38	0.3350557555
39	0.3332460192
40	0.3299688017
41	0.3266962624
42	0.3255780381
43	0.3225016967
44	0.3203332218
45	0.3165620717
46	0.3141878858
47	0.3117081128
48	0.3106525876
49	0.3059610123
50	0.3046758832
51	0.3035710967
52	0.3008400246
53	0.2982411326
54	0.2966677505
55	0.2930161904
56	0.2898163344
57	0.2881330639
58	0.2847403695
59	0.2832659184
60	0.2812929507
61	0.2806442324
62	0.2789519196
63	0.2778667246
64	0.2766559114
65	0.2754061978
66	0.273791686
67	0.272348349
68	0.2712822745
69	0.2699479782
70	0.2681312718
71	0.2669886522
72	0.2649994524
73	0.2631573775
74	0.2623281754
75	0.2606830047
76	0.2581007844
77	0.2572482388
78	0.2558619024
79	0.2541466073
80	0.2525814041
81	0.2513731183
82	0.2502827899
83	0.2494726299
84	0.2483784868
85	0.2475426756
86	0.246817161
87	0.2457375546
88	0.2445644018
89	0.2437997669
90	0.2426990148
91	0.2417437863
92	0.2406682144
93	0.2400801231
94	0.2387077426
95	0.2370830897
96	0.2360148489
97	0.2346993749
98	0.2337575371
99	0.2327435497
100	0.231746705
101	0.2308542385
102	0.2302186283
103	0.2296865958
104	0.2288074572
105	0.2277319323
106	0.2266306151
107	0.225937078
108	0.2253094583
109	0.224555043
110	0.223986606
111	0.2234548561
112	0.2229407668
113	0.2220470287
114	0.2213896449
115	0.2208169537
116	0.220352895
117	0.2197364054
118	0.2191539968
119	0.218597522
120	0.2177609887
121	0.2173023616
122	0.2166188558
123	0.2159600277
124	0.2152370563
125	0.2147550544
126	0.2138488047
127	0.2131716253
128	0.2126065792
129	0.2121602439
130	0.2118264657
131	0.2111507777
132	0.2103926419
133	0.2099848932
134	0.2095084799
135	0.2088546753
136	0.2085112583
137	0.2078035928
138	0.2072931141
139	0.2067601396
140	0.2064185437
141	0.2058424459
142	0.2055220741
143	0.2047514896
144	0.2040092876
145	0.2035488553
