iter	Passed	Remaining
0	144	143940
1	150	75243
2	156	51922
3	161	40126
4	167	33236
5	173	28701
6	179	25421
7	187	23191
8	193	21284
9	200	19803
10	206	18533
11	212	17509
12	219	16630
13	224	15821
14	231	15197
15	237	14605
16	242	14013
17	247	13513
18	252	13061
19	257	12618
20	262	12230
21	267	11886
22	272	11562
23	277	11281
24	282	11014
25	286	10746
26	291	10492
27	296	10285
28	300	10073
29	305	9871
30	309	9681
31	314	9507
32	318	9337
33	322	9175
34	327	9043
35	333	8919
36	338	8798
37	343	8688
38	347	8564
39	352	8449
40	356	8337
41	360	8228
42	364	8121
43	369	8023
44	373	7928
45	377	7836
46	382	7747
47	386	7664
48	390	7582
49	395	7521
50	401	7465
51	406	7405
52	411	7351
53	416	7303
54	422	7259
55	428	7220
56	434	7186
57	440	7149
58	445	7104
59	451	7067
60	456	7030
61	462	6995
62	467	6958
63	473	6922
64	478	6884
65	484	6851
66	493	6876
67	500	6855
68	506	6836
69	512	6802
70	517	6775
71	523	6753
72	529	6726
73	535	6701
74	540	6665
75	545	6634
76	550	6602
77	556	6573
78	561	6541
79	566	6509
80	571	6479
81	576	6456
82	581	6429
83	587	6406
84	592	6378
85	598	6356
86	602	6323
87	606	6289
88	611	6260
89	616	6235
90	620	6202
91	625	6171
92	629	6140
93	634	6110
94	638	6080
95	643	6060
96	648	6040
97	655	6029
98	659	6001
99	664	5982
100	670	5968
101	675	5945
102	681	5930
103	686	5911
104	691	5893
105	696	5876
106	701	5857
107	707	5840
108	713	5832
109	720	5825
110	725	5808
111	731	5800
112	736	5780
113	741	5761
114	747	5750
115	752	5734
116	756	5711
117	762	5696
118	766	5675
119	770	5653
120	775	5636
121	780	5615
122	784	5596
123	789	5576
124	794	5564
125	799	5547
126	805	5535
127	812	5531
128	817	5521
129	823	5509
130	829	5500
131	833	5483
132	838	5463
133	844	5455
134	849	5443
135	855	5435
136	861	5424
137	866	5414
138	873	5408
139	879	5403
140	885	5396
141	891	5385
142	899	5388
143	909	5404
144	916	5405
145	923	5401
146	929	5395
147	937	5395
148	947	5414
149	957	5425
150	965	5430
151	973	5432
152	981	5432
153	990	5443
154	996	5433
155	1002	5422
156	1008	5416
157	1013	5401
158	1018	5388
159	1025	5381
160	1030	5368
161	1035	5357
162	1041	5349
163	1047	5339
164	1055	5341
165	1061	5330
166	1068	5329
167	1074	5322
168	1079	5310
169	1088	5313
170	1094	5304
171	1099	5294
172	1106	5290
173	1112	5282
174	1119	5279
175	1126	5272
176	1132	5264
177	1138	5256
178	1144	5247
179	1151	5247
180	1156	5234
181	1161	5221
182	1167	5214
183	1173	5202
184	1178	5191
185	1184	5181
186	1190	5174
187	1195	5164
188	1201	5153
189	1207	5146
190	1212	5136
191	1217	5124
192	1223	5115
193	1228	5102
194	1233	5091
195	1238	5080
196	1243	5070
197	1249	5060
198	1254	5048
199	1259	5037
200	1264	5027
201	1269	5016
202	1275	5009
203	1281	5001
204	1286	4990
205	1292	4980
206	1297	4969
207	1303	4963
208	1308	4953
209	1314	4945
210	1319	4934
211	1325	4927
212	1331	4918
213	1336	4908
214	1341	4898
215	1347	4891
216	1352	4880
217	1357	4869
218	1363	4862
219	1369	4853
